,Player,Team,2021-22 Salary
146,Reggie Bullock,DAL,"$9,536,000"
147,Alec Burks,NYK,"$9,536,000"
148,Talen Horton-Tucker,LAL,"$9,500,000"
149,Jaren Jackson Jr.,MEM,"$9,180,560"
150,James Wiseman,GSW,"$9,166,800"
151,Nicolas Batum,CHO,"$12,213,507"
154,Dario Šarić,PHO,"$9,000,000"
155,Jalen Green,HOU,"$8,992,200"
156,Nerlens Noel,NYK,"$8,800,000"
157,Jakob Poeltl,SAS,"$8,750,000"
158,Maxi Kleber,DAL,"$8,750,000"
159,Thomas Bryant,WAS,"$8,730,159"
161,Royce O'Neale,UTA,"$8,678,571"
162,RJ Barrett,NYK,"$8,623,920"
163,Alex Caruso,CHI,"$8,604,651"
164,Delon Wright,ATL,"$8,526,316"
165,De'Anthony Melton,MEM,"$8,437,500"
166,Daniel Theis,HOU,"$8,372,093"
167,Monte Morris,DEN,"$8,333,333"
168,Trae Young,ATL,"$8,326,471"
169,JaMychal Green,DEN,"$8,292,683"
170,LaMelo Ball,CHO,"$8,231,760"
171,Seth Curry,PHI,"$8,186,047"
172,Mason Plumlee,CHO,"$8,137,500"
173,Evan Mobley,CLE,"$8,075,160"
176,Cedi Osman,CLE,"$8,050,000"
177,DeAndre Jordan,DET,"$10,517,224"
178,De'Andre Hunter,ATL,"$7,775,400"
179,Mo Bamba,ORL,"$7,568,742"
180,Tyus Jones,MEM,"$7,522,200"
181,Ivica Zubac,LAC,"$7,518,518"
182,T.J. McConnell,IND,"$7,500,000"
183,Patrick Williams,CHI,"$7,422,000"
184,Scottie Barnes,TOR,"$7,280,520"
185,Darius Garland,CLE,"$7,040,880"
186,Juan Hernangómez,BOS,"$7,012,440"
187,Chris Boucher,TOR,"$7,009,615"
188,D.J. Augustin,HOU,"$7,000,000"
189,P.J. Tucker,MIA,"$7,000,000"
190,Zach Collins,SAS,"$6,984,127"
191,Wendell Carter Jr.,ORL,"$6,920,027"
192,Isaac Okoro,CLE,"$6,720,720"
193,Jalen Suggs,ORL,"$6,593,040"
194,Cameron Payne,PHO,"$6,500,000"
195,Joakim Noah,NYK,"$6,431,666"
198,Jarrett Culver,MEM,"$6,395,160"
199,Khem Birch,TOR,"$6,350,000"
200,Collin Sexton,CLE,"$6,349,671"
201,Onyeka Okongwu,ATL,"$6,104,280"
202,Justin Holiday,IND,"$6,006,420"
203,Josh Giddey,OKC,"$5,988,000"
204,Rudy Gay,UTA,"$5,890,000"
205,Patty Mills,BRK,"$5,890,000"
206,Dennis Schröder,BOS,"$5,890,000"
207,Kevin Knox,NYK,"$5,845,978"
208,Coby White,CHI,"$5,837,760"
209,Timofey Mozgov,ORL,"$5,573,334"
210,Killian Hayes,DET,"$5,572,680"
211,Mikal Bridges,PHO,"$5,557,725"
212,Shai Gilgeous-Alexander,OKC,"$5,495,532"
213,Jonathan Kuminga,GSW,"$5,466,360"
214,Miles Bridges,CHO,"$5,421,493"
215,Jaxson Hayes,NOP,"$5,348,280"
216,Pat Connaughton,MIL,"$5,333,333"
217,Michael Porter Jr.,DEN,"$5,258,735"
220,Ryan Anderson,MIA,"$5,214,584"
221,Hamidou Diallo,DET,"$5,200,000"
222,Kevon Looney,GSW,"$5,178,572"
223,Troy Brown Jr.,CHI,"$5,170,564"
224,Obi Toppin,NYK,"$5,105,160"
225,Franz Wagner,ORL,"$5,007,840"
226,Josh Jackson,DET,"$5,005,350"
227,JaVale McGee,PHO,"$5,000,000"
228,Robin Lopez,ORL,"$5,000,000"
229,Kendrick Nunn,LAL,"$5,000,000"
230,Lou Williams,ATL,"$5,000,000"
231,Luol Deng,LAL,"$4,990,000"
232,Rui Hachimura,WAS,"$4,916,160"
233,Garrett Temple,NOP,"$4,910,000"
234,Cory Joseph,DET,"$7,310,000"
235,Taj Gibson,NYK,"$4,910,000"
236,Torrey Craig,IND,"$4,878,049"
237,Rajon Rondo,MEM,"$2,641,691"
238,Bruce Brown,BRK,"$4,736,102"
239,Deni Avdija,WAS,"$4,692,840"
242,Donte DiVincenzo,MIL,"$4,675,830"
243,Cam Reddish,ATL,"$4,670,160"
244,David Nwaba,HOU,"$4,650,000"
245,Furkan Korkmaz,PHI,"$4,629,630"
246,Davion Mitchell,SAC,"$4,603,320"
247,Bryn Forbes,SAS,"$4,500,000"
248,Jeff Green,DEN,"$4,500,000"
249,Ish Smith,CHO,"$4,500,000"
250,Jalen Smith,PHO,"$4,458,000"
251,Lonnie Walker,SAS,"$4,447,896"
252,Cameron Johnson,PHO,"$4,437,000"
253,Ziaire Williams,MEM,"$4,373,160"
254,Maurice Harkless,SAC,"$4,347,600"
255,Bobby Portis,MIL,"$4,347,600"
256,Jarred Vanderbilt,MIN,"$4,259,259"
257,Kevin Huerter,ATL,"$4,253,357"
258,Devin Vassell,SAS,"$4,235,160"
259,P.J. Washington,CHO,"$4,215,120"
260,Willie Cauley-Stein,DAL,"$4,200,000"
261,James Bouknight,CHO,"$4,154,400"
264,Josh Okogie,MIN,"$4,087,904"
265,Grayson Allen,MIL,"$4,054,695"
266,Tyrese Haliburton,SAC,"$4,023,600"
268,Tyler Herro,MIA,"$4,004,280"
269,Terence Davis,SAC,"$4,000,000"
270,George Hill,MIL,"$4,000,000"
271,Dorian Finney-Smith,DAL,"$4,000,000"
272,Gorgui Dieng,ATL,"$4,000,000"
273,Aaron Holiday,WAS,"$3,980,551"
274,Joshua Primo,SAS,"$3,946,800"
275,Jake Layman,MIN,"$3,940,184"
276,Anfernee Simons,POR,"$3,938,818"
277,Justise Winslow,LAC,"$3,902,439"
278,Danuel House,HOU,"$3,894,000"
279,Jevon Carter,BRK,"$3,833,333"
280,Kira Lewis Jr.,NOP,"$3,822,240"
281,Romeo Langford,BOS,"$3,804,360"
282,Facundo Campazzo,DEN,"$3,804,150"
283,Landry Shamet,PHO,"$3,768,342"
